"DOCUMENTACIÓN","Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses"
"UNIDADES","Porcentaje"
"FRECUENCIA","Diaria"
"CÓDIGO DE IDENTIFICACIÓN","D_DNBAF172"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"18abr03","-"
"19abr03","-"
"20abr03","-"
"21abr03","-"
"22abr03",2.491
"23abr03",2.480
"24abr03",2.461
"25abr03",2.435
"26abr03","-"
"27abr03","-"
"28abr03",2.409
"29abr03",2.425
"30abr03",2.423
"01may03","-"
"02may03",2.355
"03may03","-"
"04may03","-"
"05may03",2.383
"06may03",2.362
"07may03",2.326
"08may03",2.303
"09may03",2.346
"10may03","-"
"11may03","-"
"12may03",2.305
"13may03",2.310
"14may03",2.276
"15may03",2.264
"16may03",2.255
"17may03","-"
"18may03","-"
"19may03",2.207
"20may03",2.222
"21may03",2.197
"22may03",2.201
"23may03",2.186
"24may03","-"
"25may03","-"
"26may03",2.168
"27may03",2.138
"28may03",2.170
"29may03",2.178
"30may03",2.142
"31may03","-"
"01jun03","-"
"02jun03",2.151
"03jun03",2.122
"04jun03",2.081
"05jun03",2.077
"06jun03",2.009
"07jun03","-"
"08jun03","-"
"09jun03",2.016
"10jun03",2.007
"11jun03",1.959
"12jun03",1.959
"13jun03",1.944
"14jun03","-"
"15jun03","-"
"16jun03",1.929
"17jun03",1.965
"18jun03",1.991
"19jun03",1.987
"20jun03",1.976
"21jun03","-"
"22jun03","-"
"23jun03",1.993
"24jun03",1.989
"25jun03",1.975
"26jun03",2.024
"27jun03",2.073
"28jun03","-"
"29jun03","-"
"30jun03",2.060
"01jul03",2.021
"02jul03",2.035
"03jul03",2.047
"04jul03",2.037
"05jul03","-"
"06jul03","-"
"07jul03",2.036
"08jul03",2.057
"09jul03",2.042
"10jul03",2.047
"11jul03",2.047
"12jul03","-"
"13jul03","-"
"14jul03",2.044
"15jul03",2.051
"16jul03",2.115
"17jul03",2.098
"18jul03",2.104
"19jul03","-"
"20jul03","-"
"21jul03",2.115
"22jul03",2.124
"23jul03",2.108
"24jul03",2.080
"25jul03",2.101
"26jul03","-"
"27jul03","-"
"28jul03",2.098
"29jul03",2.106
"30jul03",2.125
"31jul03",2.112
"01ago03",2.232
"02ago03","-"
"03ago03","-"
"04ago03",2.279
"05ago03",2.263
"06ago03",2.269
"07ago03",2.250
"08ago03",2.218
"09ago03","-"
"10ago03","-"
"11ago03",2.225
"12ago03",2.244
"13ago03",2.253
"14ago03",2.273
"15ago03",2.278
"16ago03","-"
"17ago03","-"
"18ago03",2.280
"19ago03",2.305
"20ago03",2.269
"21ago03",2.300
"22ago03",2.305
"23ago03","-"
"24ago03","-"
"25ago03",2.307
"26ago03",2.321
"27ago03",2.328
"28ago03",2.337
"29ago03",2.315
"30ago03","-"
"31ago03","-"
"01sep03",2.314
"02sep03",2.356
"03sep03",2.384
"04sep03",2.369
"05sep03",2.339
"06sep03","-"
"07sep03","-"
"08sep03",2.290
"09sep03",2.290
"10sep03",2.276
"11sep03",2.269
"12sep03",2.300
"13sep03","-"
"14sep03","-"
"15sep03",2.261
"16sep03",2.258
"17sep03",2.256
"18sep03",2.247
"19sep03",2.241
"20sep03","-"
"21sep03","-"
"22sep03",2.189
"23sep03",2.185
"24sep03",2.203
"25sep03",2.174
"26sep03",2.172
"27sep03","-"
"28sep03","-"
"29sep03",2.165
"30sep03",2.130
"01oct03",2.117
"02oct03",2.132
"03oct03",2.213
"04oct03","-"
"05oct03","-"
"06oct03",2.267
"07oct03",2.239
"08oct03",2.246
"09oct03",2.235
"10oct03",2.278
"11oct03","-"
"12oct03","-"
"13oct03",2.283
"14oct03",2.310
"15oct03",2.308
"16oct03",2.338
"17oct03",2.372
"18oct03","-"
"19oct03","-"
"20oct03",2.376
"21oct03",2.362
"22oct03",2.349
"23oct03",2.305
"24oct03",2.354
"25oct03","-"
"26oct03","-"
"27oct03",2.369
"28oct03",2.384
"29oct03",2.354
"30oct03",2.381
"31oct03",2.386
"01nov03","-"
"02nov03","-"
"03nov03",2.391
"04nov03",2.413
"05nov03",2.419
"06nov03",2.437
"07nov03",2.459
"08nov03","-"
"09nov03","-"
"10nov03",2.483
"11nov03",2.474
"12nov03",2.480
"13nov03",2.463
"14nov03",2.401
"15nov03","-"
"16nov03","-"
"17nov03",2.345
"18nov03",2.371
"19nov03",2.316
"20nov03",2.329
"21nov03",2.337
"22nov03","-"
"23nov03","-"
"24nov03",2.355
"25nov03",2.402
"26nov03",2.407
"27nov03",2.455
"28nov03",2.470
"29nov03","-"
"30nov03","-"
