Grupos ECOICOP ver.2;Tipo de dato;Periodo;Total
Índice general;Índice;2017M04;80,356
Índice general;Índice;2017M03;79,592
Índice general;Índice;2017M02;79,608
Índice general;Índice;2017M01;79,896
Índice general;Índice;2016M12;80,338
Índice general;Índice;2016M11;79,864
Índice general;Índice;2016M10;79,576
Índice general;Índice;2016M09;78,677
Índice general;Índice;2016M08;78,673
Índice general;Índice;2016M07;78,572
Índice general;Índice;2016M06;79,148
Índice general;Índice;2016M05;78,783
Índice general;Índice;2016M04;78,355
Índice general;Índice;2016M03;77,810
Índice general;Índice;2016M02;77,314
Índice general;Índice;2016M01;77,588
Índice general;Índice;2015M12;79,097
Índice general;Índice;2015M11;79,329
Índice general;Índice;2015M10;79,039
Índice general;Índice;2015M09;78,536
Índice general;Índice;2015M08;78,779
Índice general;Índice;2015M07;79,041
Índice general;Índice;2015M06;79,782
Índice general;Índice;2015M05;79,569
Índice general;Índice;2015M04;79,191
Índice general;Índice;2015M03;78,470
Índice general;Índice;2015M02;77,972
Índice general;Índice;2015M01;77,812
Índice general;Índice;2014M12;79,083
Índice general;Índice;2014M11;79,547
Índice general;Índice;2014M10;79,602
Índice general;Índice;2014M09;79,233
Índice general;Índice;2014M08;79,112
Índice general;Índice;2014M07;78,987
Índice general;Índice;2014M06;79,737
Índice general;Índice;2014M05;79,715
Índice general;Índice;2014M04;79,697
Índice general;Índice;2014M03;78,994
Índice general;Índice;2014M02;78,818
Índice general;Índice;2014M01;78,852
Índice general;Índice;2013M12;79,915
Índice general;Índice;2013M11;79,844
Índice general;Índice;2013M10;79,678
Índice general;Índice;2013M09;79,355
Índice general;Índice;2013M08;79,504
Índice general;Índice;2013M07;79,258
Índice general;Índice;2013M06;79,669
Índice general;Índice;2013M05;79,551
Índice general;Índice;2013M04;79,405
Índice general;Índice;2013M03;79,109
Índice general;Índice;2013M02;78,832
Índice general;Índice;2013M01;78,695
Índice general;Índice;2012M12;79,714
Índice general;Índice;2012M11;79,658
Índice general;Índice;2012M10;79,757
Índice general;Índice;2012M09;79,085
Índice general;Índice;2012M08;78,314
Índice general;Índice;2012M07;77,876
Índice general;Índice;2012M06;78,058
Índice general;Índice;2012M05;78,204
Índice general;Índice;2012M04;78,320
Índice general;Índice;2012M03;77,235
Índice general;Índice;2012M02;76,719
Índice general;Índice;2012M01;76,639
Índice general;Índice;2011M12;77,492
Índice general;Índice;2011M11;77,391
Índice general;Índice;2011M10;77,078
Índice general;Índice;2011M09;76,475
Índice general;Índice;2011M08;76,289
Índice general;Índice;2011M07;76,194
Índice general;Índice;2011M06;76,606
Índice general;Índice;2011M05;76,714
Índice general;Índice;2011M04;76,739
Índice general;Índice;2011M03;75,796
Índice general;Índice;2011M02;75,234
Índice general;Índice;2011M01;75,138
Índice general;Índice;2010M12;75,692
Índice general;Índice;2010M11;75,230
Índice general;Índice;2010M10;74,824
Índice general;Índice;2010M09;74,146
Índice general;Índice;2010M08;74,095
Índice general;Índice;2010M07;73,909
Índice general;Índice;2010M06;74,241
Índice general;Índice;2010M05;74,109
Índice general;Índice;2010M04;73,944
Índice general;Índice;2010M03;73,165
Índice general;Índice;2010M02;72,627
Índice general;Índice;2010M01;72,759
Índice general;Índice;2009M12;73,496
Índice general;Índice;2009M11;73,515
Índice general;Índice;2009M10;73,119
Índice general;Índice;2009M09;72,601
Índice general;Índice;2009M08;72,773
Índice general;Índice;2009M07;72,520
Índice general;Índice;2009M06;73,144
Índice general;Índice;2009M05;72,823
Índice general;Índice;2009M04;72,849
Índice general;Índice;2009M03;72,144
Índice general;Índice;2009M02;72,026
Índice general;Índice;2009M01;72,018
Índice general;Índice;2008M12;72,917
Índice general;Índice;2008M11;73,293
Índice general;Índice;2008M10;73,605
Índice general;Índice;2008M09;73,353
Índice general;Índice;2008M08;73,368
Índice general;Índice;2008M07;73,526
Índice general;Índice;2008M06;73,881
Índice general;Índice;2008M05;73,458
Índice general;Índice;2008M04;72,965
Índice general;Índice;2008M03;72,188
Índice general;Índice;2008M02;71,553
Índice general;Índice;2008M01;71,442
Índice general;Índice;2007M12;71,887
Índice general;Índice;2007M11;71,587
Índice general;Índice;2007M10;71,077
Índice general;Índice;2007M09;70,168
Índice general;Índice;2007M08;69,938
Índice general;Índice;2007M07;69,843
Índice general;Índice;2007M06;70,354
Índice general;Índice;2007M05;70,225
Índice general;Índice;2007M04;70,033
Índice general;Índice;2007M03;69,079
Índice general;Índice;2007M02;68,559
Índice general;Índice;2007M01;68,512
Índice general;Índice;2006M12;68,976
Índice general;Índice;2006M11;68,787
Índice general;Índice;2006M10;68,618
Índice general;Índice;2006M09;68,337
Índice general;Índice;2006M08;68,450
Índice general;Índice;2006M07;68,310
Índice general;Índice;2006M06;68,719
Índice general;Índice;2006M05;68,615
Índice general;Índice;2006M04;68,369
Índice general;Índice;2006M03;67,418
Índice general;Índice;2006M02;66,944
Índice general;Índice;2006M01;66,912
Índice general;Índice;2005M12;67,184
Índice general;Índice;2005M11;67,040
Índice general;Índice;2005M10;66,939
Índice general;Índice;2005M09;66,399
Índice general;Índice;2005M08;65,994
Índice general;Índice;2005M07;65,705
Índice general;Índice;2005M06;66,110
Índice general;Índice;2005M05;65,956
Índice general;Índice;2005M04;65,830
Índice general;Índice;2005M03;64,895
Índice general;Índice;2005M02;64,386
Índice general;Índice;2005M01;64,219
Índice general;Índice;2004M12;64,765
Índice general;Índice;2004M11;64,828
Índice general;Índice;2004M10;64,667
Índice general;Índice;2004M09;64,009
Índice general;Índice;2004M08;63,895
Índice general;Índice;2004M07;63,614
Índice general;Índice;2004M06;64,100
Índice general;Índice;2004M05;63,999
Índice general;Índice;2004M04;63,623
Índice general;Índice;2004M03;62,764
Índice general;Índice;2004M02;62,329
Índice general;Índice;2004M01;62,300
Índice general;Índice;2003M12;62,740
Índice general;Índice;2003M11;62,633
Índice general;Índice;2003M10;62,429
Índice general;Índice;2003M09;62,011
Índice general;Índice;2003M08;61,827
Índice general;Índice;2003M07;61,545
Índice general;Índice;2003M06;61,933
Índice general;Índice;2003M05;61,892
Índice general;Índice;2003M04;61,949
Índice general;Índice;2003M03;61,449
Índice general;Índice;2003M02;61,026
Índice general;Índice;2003M01;60,896
Índice general;Índice;2002M12;61,148
Índice general;Índice;2002M11;60,946
Índice general;Índice;2002M10;60,851
Índice general;Índice;2002M09;60,255
Índice general;Índice;2002M08;60,030
Índice general;Índice;2002M07;59,858
Índice general;Índice;2002M06;60,277
Índice general;Índice;2002M05;60,274
Índice general;Índice;2002M04;60,058
Índice general;Índice;2002M03;59,253
Índice general;Índice;2002M02;58,768
Índice general;Índice;2002M01;58,717
