fecha,morosidad,paro,paro_lag_12,euribor,inflacion_interanual,pred_morosidad_m1,pred_morosidad_m2
2006-05-01,0.79,8.44,9.32,3.307818181818182,4.031475529140627,1.0759004037139102,0.9417864963799849
2006-06-01,0.76,8.44,9.32,3.4005454545454543,3.946452881561036,1.0759004037139102,0.9763755042012149
2006-07-01,0.76,8.08,8.41,3.538619047619048,3.9646906628110656,0.4686975173923864,0.39359469820399906
2006-08-01,0.78,8.08,8.41,3.615130434782608,3.721550443979771,0.4686975173923864,0.46586364105461375
2006-09-01,0.77,8.08,8.41,3.7153333333333336,2.918718655401431,0.4686975173923864,0.6829618190012453
2006-10-01,0.77,8.26,8.71,3.7991818181818178,2.5082537832952445,0.6688742931027791,0.9955991398227629
2006-11-01,0.74,8.26,8.71,3.8636818181818176,2.6059069212410524,0.6688742931027791,0.9800232731796499
2006-12-01,0.72,8.26,8.71,3.920894736842105,2.667301738509176,0.6688742931027791,0.972583875477615
2007-01-01,0.75,8.42,9.03,4.064409090909091,2.3912003825920625,0.882396187193863,1.2728182817396374
2007-02-01,0.76,8.42,9.03,4.09355,2.412464149139581,0.882396187193863,1.2715587749041837
2007-03-01,0.75,8.42,9.03,4.105545454545455,2.4637337209647114,0.882396187193863,1.2602926322036465
2007-04-01,0.76,7.93,8.44,4.252684210526316,2.433851599409098,0.48871519496342497,0.9011264012175826
2007-05-01,0.77,7.93,8.44,4.373136363636363,2.3464257086642792,0.48871519496342497,0.9402386394805174
2007-06-01,0.76,7.93,8.44,4.50547619047619,2.379254645731166,0.48871519496342497,0.9506308856269615
2007-07-01,0.79,8.01,8.08,4.563818181818181,2.244180939833118,0.24850306411095424,0.7565743830811711
2007-08-01,0.84,8.01,8.08,4.666347826086956,2.173849525200877,0.24850306411095424,0.7888340640419291
2007-09-01,0.84,8.01,8.08,4.7245,2.679368424133344,0.24850306411095424,0.6692581987223553
2007-10-01,0.89,8.57,8.26,4.646652173913044,3.583607799702704,0.36860912953719005,0.5479034435350665
2007-11-01,0.91,8.57,8.26,4.607227272727273,4.070536583947537,0.36860912953719005,0.41924564524603203
2007-12-01,0.92,8.57,8.26,4.792947368421053,4.220308513106019,0.36860912953719005,0.4076152922555041
2008-01-01,1.04,9.6,8.42,4.498045454545454,4.27662307333021,0.4753700765827329,0.45681429485910074
2008-02-01,1.13,9.6,8.42,4.348857142857143,4.367041526276627,0.4753700765827329,0.4128870257765538
2008-03-01,1.2,9.6,8.42,4.590052631578947,4.500644189985392,0.4753700765827329,0.41317912510102905
2008-04-01,1.38,10.36,7.93,4.819909090909091,4.186597746776521,0.14841467625575788,0.2032069431349448
2008-05-01,1.55,10.36,7.93,4.993809523809524,4.603773584905668,0.14841467625575788,0.12231081152409429
2008-06-01,1.7,10.36,7.93,5.360809523809524,5.013218864599023,0.14841467625575788,0.07064126364996004
2008-07-01,2.23,11.23,8.01,5.393217391304348,5.273255730710291,0.20179514977852975,0.06202678697290498
2008-08-01,2.53,11.23,8.01,5.323047619047619,4.9043438474077,0.20179514977852975,0.1453727694339806
2008-09-01,2.63,11.23,8.01,5.383909090909091,4.53910614525137,0.20179514977852975,0.2462961454048911
