fecha,morosidad,euribor,ipc,inflacion_interanual,paro,paro_lag_6,paro_lag_12,euribor_lag_6,euribor_lag_12
2006-08-01,0.78,3.6151304347826083,68.45,3.721550443979771,8.08,9.03,8.41,2.9141500000000002,2.2228695652173913
2006-09-01,0.77,3.7153333333333336,68.337,2.918718655401431,8.08,9.03,8.41,3.1053478260869567,2.2195
2006-10-01,0.77,3.7991818181818178,68.618,2.5082537832952445,8.26,8.44,8.71,3.2214444444444443,2.4135714285714287
2006-11-01,0.74,3.8636818181818184,68.787,2.6059069212410524,8.26,8.44,8.71,3.307818181818182,2.6843636363636363
2006-12-01,0.72,3.920894736842105,68.976,2.6673017385091757,8.26,8.44,8.71,3.4005454545454543,2.7832857142857144
2007-01-01,0.75,4.064409090909091,68.512,2.3912003825920625,8.42,8.08,9.03,3.538619047619048,2.8334545454545452
2007-02-01,0.76,4.09355,68.559,2.4124641491395815,8.42,8.08,9.03,3.6151304347826083,2.9141500000000002
2007-03-01,0.75,4.105545454545455,69.079,2.4637337209647114,8.42,8.08,9.03,3.7153333333333336,3.1053478260869567
2007-04-01,0.76,4.252684210526316,70.033,2.433851599409098,7.93,8.26,8.44,3.7991818181818178,3.2214444444444443
2007-05-01,0.77,4.373136363636363,70.225,2.3464257086642792,7.93,8.26,8.44,3.8636818181818184,3.307818181818182
2007-06-01,0.76,4.50547619047619,70.354,2.379254645731166,7.93,8.26,8.44,3.920894736842105,3.4005454545454543
2007-07-01,0.79,4.563818181818181,69.843,2.244180939833118,8.01,8.42,8.08,4.064409090909091,3.538619047619048
2007-08-01,0.84,4.666347826086956,69.938,2.173849525200877,8.01,8.42,8.08,4.09355,3.6151304347826083
2007-09-01,0.84,4.7245,70.168,2.6793684241333438,8.01,8.42,8.08,4.105545454545455,3.7153333333333336
2007-10-01,0.89,4.6466521739130435,71.077,3.583607799702704,8.57,7.93,8.26,4.252684210526316,3.7991818181818178
2007-11-01,0.91,4.607227272727273,71.587,4.070536583947537,8.57,7.93,8.26,4.373136363636363,3.8636818181818184
2007-12-01,0.92,4.792947368421053,71.887,4.220308513106019,8.57,7.93,8.26,4.50547619047619,3.920894736842105
2008-01-01,1.04,4.498045454545454,71.442,4.27662307333021,9.6,8.01,8.42,4.563818181818181,4.064409090909091
2008-02-01,1.13,4.348857142857143,71.553,4.367041526276627,9.6,8.01,8.42,4.666347826086956,4.09355
2008-03-01,1.2,4.590052631578947,72.188,4.500644189985392,9.6,8.01,8.42,4.7245,4.105545454545455
2008-04-01,1.38,4.819909090909091,72.965,4.186597746776521,10.36,8.57,7.93,4.6466521739130435,4.252684210526316
2008-05-01,1.55,4.993809523809524,73.458,4.603773584905668,10.36,8.57,7.93,4.607227272727273,4.373136363636363
2008-06-01,1.7,5.3608095238095235,73.881,5.013218864599023,10.36,8.57,7.93,4.792947368421053,4.50547619047619
2008-07-01,2.23,5.393217391304348,73.526,5.273255730710291,11.23,9.6,8.01,4.498045454545454,4.563818181818181
2008-08-01,2.53,5.323047619047619,73.368,4.9043438474076995,11.23,9.6,8.01,4.348857142857143,4.666347826086956
2008-09-01,2.63,5.383909090909091,73.353,4.53910614525137,11.23,9.6,8.01,4.590052631578947,4.7245
2008-10-01,2.92,5.247826086956522,73.605,3.5567061074609274,13.79,10.36,8.57,4.819909090909091,4.6466521739130435
2008-11-01,3.21,4.3504,73.293,2.38311425258777,13.79,10.36,8.57,4.993809523809524,4.607227272727273
2008-12-01,3.37,3.4520000000000004,72.917,1.4328042622449244,13.79,10.36,8.57,5.3608095238095235,4.792947368421053
